sentence,manual annotation,predicted annotation
මම මගේ සගයා වන සෙවරින් මහතා සමඟ එකඟ නොවෙමි .,"[ මම ARG0 , මගේ ARG1 , සගයා ARG1 , වන ARG1 , සෙවරින් ARG1 , මහතා ARG1 , සමඟ ARG1 , එකඟ disagree.01 , නොවෙමි disagree.01 , . O ]","[ මම ARG0 , මගේ ARG1 , සගයා ARG1 , වන ARG1 , සෙවරින් ARG2 , මහතා ARG2 , සමඟ ARG2 , එකඟ disagree.01 , නොවෙමි disagree.01 , . O ]"
ඔබේ න්‍යාය පත්‍රයේ ආර්ථික අර්බුදය ඉහළ මට්ටමක පවතී .,"[ ඔබේ ARG3 , න්‍යාය ARG3 , පත්‍රයේ ARG3 , ආර්ථික ARG1 , අර්බුදය ARG1 , ඉහළ ARG3 , මට්ටමක O , පවතී remain.01 , . O ]","[ ඔබේ ARG1 , න්\u200dයාය ARG1 , පත්\u200dරයේ O , ආර්ථික ARG1 , අර්බුදය ARG1 , ඉහළ ARG1 , මට්ටමක O , පවතී remain.01 , . O ]"
පලස්තීන සිවිල් වැසියන් හමාස් වලින් ආරක්ෂා කළ යුතුය .,"[ පලස්තීන ARG1 , සිවිල් ARG1 , වැසියන් ARG1 , හමාස් ARG2 , වලින් ARG2 , ආරක්ෂා protect.01 , කළ protect.01 , යුතුය O , . O ] , [ පලස්තීන ARG0 , සිවිල් ARG0 , වැසියන් ARG0 , හමාස් ARG1 , වලින් ARG1 , ආරක්ෂා ARG1 , කළ ARG1 , යුතුය need.01 , . O ]","[ පලස්තීන ARG0 , සිවිල් ARG1 , වැසියන් ARG1 , හමාස් ARG2 , වලින් ARG2 , ආරක්ෂා protect.01 , කළ protect.01 , යුතුය ARGM-MOD , . O ]"
මෙම ප්‍රවේශවීමේ ක්‍රියාවලිය අත්හැරිය යුතුය .,"[ මෙම ARG1 , ප්‍රවේශවීමේ ARG1 , ක්‍රියාවලිය ARG1 , අත්හැරිය abandon.01 , යුතුය ARGM-MOD , . O ]","[ මෙම ARG1 , ප්\u200dරවේශවීමේ ARG1 , ක්\u200dරියාවලිය ARG1 , අත්හැරිය leave.11 , යුතුය ARGM-MOD , . O ]"
වැඩි කාලයක් ඉතිරිව නැත .,"[ වැඩි ARG1 , කාලයක් ARG1 , ඉතිරිව leave.17 , නැත O , . O ]","[ වැඩි ARG1 , කාලයක් ARG1 , ඉතිරිව remain.01 , නැත O , . O ]"
එය ඡන්දය අවසන් කරයි .,"[ එය ARG0 , ඡන්දය ARG1 , අවසන් conclude.01 , කරයි conclude.01 , . O ]","[ එය ARG0 , ඡන්දය ARG1 , අවසන් conclude.01 , කරයි conclude.01 , . O ]"
එසේ නොමැතිනම් වෙයිලර් මහත්මිය පැවසූ දේ නිවැරදි ය .,"[ එසේ ARGM-DIS , නොමැතිනම් ARGM-DIS , වෙයිලර් ARG0 , මහත්මිය ARG0 , පැවසූ say.01 , දේ ARG1 , නිවැරදි O , ය O , . O ] , [ එසේ O , නොමැතිනම් O , වෙයිලර් ARG1 , මහත්මිය ARG1 , පැවසූ ARG1 , දේ ARG1 , නිවැරදි ARG2 , ය be.01 , . O ]","[ එසේ O , නොමැතිනම් O , වෙයිලර් ARG0 , මහත්මිය ARG0 , පැවසූ say.01 , දේ ARG1 , නිවැරදි O , ය O , . O ], [ එසේ O , නොමැතිනම් O , වෙයිලර් ARG1 , මහත්මිය ARG1 , පැවසූ ARG1 , දේ ARG1 , නිවැරදි ARG1 , ය be.01 , . O ]"
මෙය බුරුමයේ මෙන් ම ය .,"[ මෙය ARG1 , බුරුමයේ ARG2 , මෙන් ARG2 , ම ARG2 , ය be.01 , . O ]","[ මෙය ARG1 , බුරුමයේ ARG2 , මෙන් ARG2 , ම ARG2 , ය be.01 , . O ]"
එය සංකීර්ණ වන අතර එය යුක්ති සහගත නොවේ .,"[ එය ARG1 , සංකීර්ණ ARG2 , වන be.01 , අතර O , එය O , යුක්ති O , සහගත O , නොවේ O , . O ] , [ එය ARG1 , සංකීර්ණ complicate.01 , වන O , අතර O , එය O , යුක්ති O , සහගත O , නොවේ O , . O ] , [ එය O , සංකීර්ණ O , වන O , අතර O , එය ARG1 , යුක්ති justify.01 , සහගත justify.01 , නොවේ ARGM-NEG , . O ]","[ එය ARG1 , සංකීර්ණ ARG2 , වන be.01 , අතර O , එය O , යුක්ති O , සහගත O , නොවේ O , . O ]"
අපගේ සම්බන්ධතාවල පදනම් අතිශයින්ම ශක්තිමත් ය .,"[ අපගේ ARG1 , සම්බන්ධතාවල ARG1 , පදනම් ARG1 , අතිශයින්ම ARG2 , ශක්තිමත් ARG2 , ය be.01 , . O ]","[ අපගේ ARG2 , සම්බන්ධතාවල ARG2 , පදනම් base.02 , අතිශයින්ම ARG2 , ශක්තිමත් O , ය O , . O ], [ අපගේ ARG1 , සම්බන්ධතාවල ARG2 , පදනම් ARG2 , අතිශයින්ම ARG2 , ශක්තිමත් ARG2 , ය be.01 , . O ]"
මම මේ ගැන කලකට පෙර කතා කළා .,"[ මම ARG0 , මේ ARG1 , ගැන ARG1 , කලකට ARGM-TMP , පෙර ARGM-TMP , කතා speak.01 , කළා speak.01 , . O ]","[ මම ARG0 , මේ ARG1 , ගැන ARG1 , කලකට ARG1 , පෙර ARGM-TMP , කතා speak.01 , කළා speak.01 , . O ]"
එබැවින් අද පාර්ලිමේන්තුව සමතුලිතතාවයක් අත්කර ගෙන ඇත .,"[ එබැවින් ARGM-DIS , අද ARGM-TMP , පාර්ලිමේන්තුව ARG0 , සමතුලිතතාවයක් ARG1 , අත්කර achieve.01 , ගෙන achieve.01 , ඇත O , . O ] , [ එබැවින් O , අද O , පාර්ලිමේන්තුව O , සමතුලිතතාවයක් O , අත්කර O , ගෙන O , ඇත have.01 , . O ]","[ එබැවින් ARGM-DIS , අද ARGM-TMP , පාර්ලිමේන්තුව ARG0 , සමතුලිතතාවයක් O , අත්කර achieve.01 , ගෙන achieve.01 , ඇත O , . O ], [ එබැවින් ARGM-DIS , අද O , පාර්ලිමේන්තුව O , සමතුලිතතාවයක් O , අත්කර O , ගෙන O , ඇත have.01 , . O ]"
විය හැකි වංචා නඩු මේවාය .,"[ විය ARG2 , හැකි ARG2 , වංචා ARG2 , නඩු ARG2 , මේවාය ARG1 , . O ]",[ ]
යුරෝපය ඇමරිකානු ඩොලර් බිලියන 2.5 ක් වියදම් කරයි .,"[ යුරෝපය ARG0 , ඇමරිකානු ARG3 , ඩොලර් ARG3 , බිලියන ARG3 , 2.5 ARG3 , ක් O , වියදම් spend.01 , කරයි spend.01 , . O ]",[ ]
මෙය සඳහන් කරන ජාත්‍යන්තර සම්මුතීන් අප සතුව ඇත .,"[ මෙය ARG1 , සඳහන් ARG1 , කරන ARG1 , ජාත්‍යන්තර ARG1 , සම්මුතීන් ARG1 , අප ARG0 , සතුව have.03 , ඇත have.03 , . O ]","[ මෙය ARG1 , සඳහන් O , කරන O , ජාත්\u200dයන්තර ARG0 , සම්මුතීන් O , අප ARG0 , සතුව have.03 , ඇත O , . O ]"
කනස්සල්ලට පත්වන සලකුණු බොහොමයක් තිබේ .,"[ කනස්සල්ලට ARG1 , පත්වන ARG1 , සලකුණු ARG1 , බොහොමයක් ARG1 , තිබේ be.02 , . O ]","[ කනස්සල්ලට ARG1 , පත්වන ARG1 , සලකුණු ARG1 , බොහොමයක් ARG1 , තිබේ be.02 , . O ]"
ඔවුහු ඔබේ හදවත බිඳ දමයි .,"[ ඔවුහු ARG0 , ඔබේ ARG1 , හදවත ARG1 , බිඳ break.01 , දමයි break.01 , . O ]","[ ඔවුහු ARG0 , ඔබේ ARG1 , හදවත ARG1 , බිඳ break.01 , දමයි break.01 , . O ]"
ඇමරිකානු රජය පවා තවමත් නො දනී .,"[ ඇමරිකානු ARG0 , රජය ARG0 , පවා ARG0 , තවමත් ARGM-TMP , නො ARGM-NEG , දනී know.01 , . O ]","[ ඇමරිකානු ARG0 , රජය ARG0 , පවා ARGM-TMP , තවමත් ARGM-TMP , නො ARGM-NEG , දනී know.01 , . O ]"
සත්‍යය නිශ්චිත ය .,"[ සත්‍යය ARG1 , නිශ්චිත ARG2 , ය be.01 , . O ]","[ සත්\u200dයය ARG1 , නිශ්චිත ARG1 , ය be.01 , . O ]"
ඒක ලොකු ඉල්ලීමක් ! ,"[ ඒක ARG1 , ලොකු ARG2 , ඉල්ලීමක් ARG2 , ! O ]",[ ]
මෙම අති නවීන කර්මාන්තය ආරක්ෂා කළ යුතුය .,"[ මෙම ARG1 , අති ARG1 , නවීන ARG1 , කර්මාන්තය ARG1 , ආරක්ෂා protect.01 , කළ protect.01 , යුතුය ARGM-MOD , . O ]","[ මෙම ARG1 , අති ARG1 , නවීන ARG2 , කර්මාන්තය ARG2 , ආරක්ෂා protect.01 , කළ protect.01 , යුතුය ARGM-MOD , . O ]"
මම හිතන්නේ සාකච්ඡා එතැනින් අවසන් නොවිය යුතුයි .,"[ මම ARG0 , හිතන්නේ think.01 , සාකච්ඡා ARG1 , එතැනින් ARG1 , අවසන් ARG1 , නොවිය ARG1 , යුතුයි ARG1 , . O ] , [ මම O , හිතන්නේ O , සාකච්ඡා ARG0 , එතැනින් ARGM-LOC , අවසන් end.01 , නොවිය ARGM-NEG , යුතුයි ARGM-MOD , . O ]","[ මම ARG0 , හිතන්නේ think.01 , සාකච්ඡා ARG1 , එතැනින් ARG1 , අවසන් O , නොවිය O , යුතුයි O , . O ]"
මෙම වාර්තාව විධිමත් හා දැඩි පාලනයන් යෝජනා කරයි .,"[ මෙම ARG0 , වාර්තාව ARG0 , විධිමත් O , හා ARG1 , දැඩි ARG1 , පාලනයන් ARG1 , යෝජනා propose.01 , කරයි propose.01 , . O ]","[ මෙම ARG1 , වාර්තාව ARG1 , විධිමත් ARG1 , හා ARG1 , දැඩි ARG1 , පාලනයන් ARG1 , යෝජනා propose.01 , කරයි propose.01 , . O ]"
2009 සහයෝගීතාවයේ වසරක් විය යුතුය .,"[ 2009 ARG1 , සහයෝගීතාවයේ ARG2 , වසරක් ARG2 , විය be.01 , යුතුය ARGM-MOD , . O ]","[ 2009 ARG2 , සහයෝගීතාවයේ ARG2 , වසරක් ARG2 , විය be.01 , යුතුය ARGM-MOD , . O ]"
අපට දැන් කුමක් කළ හැකිද ?,"[ අපට ARG0 , දැන් ARGM-TMP , කුමක් ARG1 , කළ do.02 , හැකිද ARGM-MOD , ? O ]","[ අපට ARG0 , දැන් ARGM-TMP , කුමක් ARG1 , කළ do.02 , හැකිද ARGM-MOD , ? O , . O ]"
මට මෙහි රූපසටහන් කිහිපයක් තිබේ .,"[ මට ARG0 , මෙහි ARGM-LOC , රූපසටහන් ARG1 , කිහිපයක් ARG1 , තිබේ have.03 , . O ]","[ මට ARG0 , මෙහි ARGM-LOC , රූපසටහන් ARG1 , කිහිපයක් ARG1 , තිබේ be.02 , . O ]"
දැන් අහස පවා සීමාව නො වේ .,"[ දැන් ARGM-TMP , අහස ARG1 , පවා ARG1 , සීමාව ARG2 , නො ARGM-NEG , වේ be.01 , . O ]","[ දැන් ARGM-TMP , අහස ARG2 , පවා ARG2 , සීමාව ARG2 , නො ARGM-NEG , වේ be.01 , . O ]"
දූෂණය අවම කිරීම සඳහා ද එයම වේ .,"[ දූෂණය ARG1 , අවම reduce.01 , කිරීම reduce.01 , සඳහා O , ද O , එයම O , වේ O , . O ] , [ දූෂණය ARG2 , අවම ARG2 , කිරීම ARG2 , සඳහා ARG2 , ද O , එයම ARG1 , වේ go.01 , . O ]","[ දූෂණය ARG0 , අවම reduce.01 , කිරීම reduce.01 , සඳහා O , ද O , එයම O , වේ O , . O ], [ දූෂණය ARG2 , අවම ARG2 , කිරීම ARG2 , සඳහා ARG2 , ද ARGM-ADV , එයම ARG2 , වේ be.01 , . O ]"
ඔවුන් අපට ඇහුම්කන් දී ඇත .,"[ ඔවුන් ARG0 , අපට ARG1 , ඇහුම්කන් listen.01 , දී listen.01 , ඇත listen.01 , . O ] , [ ඔවුන් O , අපට O , ඇහුම්කන් O , දී O , ඇත have.01 , . O ]","[ ඔවුන් ARG0 , අපට ARG0 , ඇහුම්කන් listen.01 , දී O , ඇත O , . O ], [ ඔවුන් ARG0 , අපට O , ඇහුම්කන් O , දී O , ඇත have.01 , . O ]"
ජනාධිපති ක්ලවුස්ට මෙහි බාධාවකින් තොරව කථා කිරීමට හැකි විය .,"[ ජනාධිපති ARG1 , ක්ලවුස්ට ARG1 , මෙහි ARG2 , බාධාවකින් ARG2 , තොරව ARG2 , කථා ARG2 , කිරීමට ARG2 , හැකි ARG2 , විය be.01 , . O ] , [ ජනාධිපති ARG0 , ක්ලවුස්ට ARG0 , මෙහි ARGM-LOC , බාධාවකින් ARGM-MNR , තොරව ARGM-MNR , කථා speak.01 , කිරීමට speak.01 , හැකි O , විය O , . O ]","[ ජනාධිපති ARG1 , ක්ලවුස්ට ARG1 , මෙහි ARGM-LOC , බාධාවකින් O , තොරව ARGM-MNR , කථා speak.01 , කිරීමට speak.01 , හැකි ARGM-MOD , විය O , . O ], [ ජනාධිපති ARG1 , ක්ලවුස්ට ARG1 , මෙහි ARGM-LOC , බාධාවකින් O , තොරව O , කථා O , කිරීමට O , හැකි O , විය be.01 , . O ]"
අනෙක් අභියෝගය වන්නේ යුරෝපීය සහයෝගීතාවය ඇති කිරීමයි .,"[ අනෙක් ARG1 , අභියෝගය ARG1 , වන්නේ be.01 , යුරෝපීය ARG2 , සහයෝගීතාවය ARG2 , ඇති ARG2 , කිරීමයි ARG2 , . O ] , [ අනෙක් O , අභියෝගය O , වන්නේ O , යුරෝපීය ARG1 , සහයෝගීතාවය ARG1 , ඇති create.01 , කිරීමයි create.01 , . O ]","[ අනෙක් ARG1 , අභියෝගය ARG1 , වන්නේ be.01 , යුරෝපීය ARG1 , සහයෝගීතාවය ARG1 , ඇති O , කිරීමයි O , . O ]"
මෙම පුද්ගලයින්ට ඔවුන්ට ලබා ගත හැකි විකල්ප කිහිපයක් තිබේ .,"[ මෙම ARG0 , පුද්ගලයින්ට ARG0 , ඔවුන්ට ARG1 , ලබා ARG1 , ගත ARG1 , හැකි ARG1 , විකල්ප ARG1 , කිහිපයක් ARG1 , තිබේ have.03 , . O ]","[ මෙම ARG0 , පුද්ගලයින්ට ARG0 , ඔවුන්ට ARG1 , ලබා ARG1 , ගත ARG1 , හැකි ARG1 , විකල්ප ARG1 , කිහිපයක් ARG1 , තිබේ be.02 , . O ]"
ග්‍රීන් පේපර් ප්‍රසිද්ධ විවාදයකට මඟ පෙන්වීය .,"[ ග්‍රීන් ARG0 , පේපර් ARG0 , ප්‍රසිද්ධ ARG2 , විවාදයකට ARG2 , මඟ lead.03 , පෙන්වීය lead.03 , . O ]",[ ]
ආර්ථික ක්‍රියාකරුවන්ට අපේක්ෂාවන් සහ නීතිමය ස්ථාවරත්වයක් අවශ්‍ය වේ .,"[ ආර්ථික ARG0 , ක්‍රියාකරුවන්ට ARG0 , අපේක්ෂාවන් ARG1 , සහ ARG1 , නීතිමය ARG1 , ස්ථාවරත්වයක් ARG1 , අවශ්‍ය need.01 , වේ need.01 , . O ]","[ ආර්ථික ARG1 , ක්\u200dරියාකරුවන්ට ARG1 , අපේක්ෂාවන් ARG1 , සහ ARG1 , නීතිමය ARG1 , ස්ථාවරත්වයක් ARG1 , අවශ්\u200dය need.01 , වේ need.01 , . O ]"
"පිළිතුර නිසැකවම "" නැත "" යන්නයි .","[ පිළිතුර ARG1 , නිසැකවම ARGM-ADV , "" O , නැත ARG2 , "" O , යන්නයි be.01 , . O ]","[ පිළිතුර ARG1 , නිසැකවම ARGM-ADV , "" O , නැත O , "" O , යන්නයි be.01 , . O ]"
මෙයින් අදහස් කරන්නේ රැකියා අහිමි වන බවයි .,"[ මෙයින් ARG0 , අදහස් mean.01 , කරන්නේ mean.01 , රැකියා ARG1 , අහිමි ARG1 , වන ARG1 , බවයි ARG1 , . O ]","[ මෙයින් ARG0 , අදහස් mean.01 , කරන්නේ mean.01 , රැකියා ARG1 , අහිමි O , වන O , බවයි ARG1 , . O ], [ මෙයින් O , අදහස් O , කරන්නේ O , රැකියා ARG1 , අහිමි O , වන be.01 , බවයි ARG1 , . O ]"
තුර්කියට දිගු කලක් තිස්සේ බලා සිටි ප්‍රතිසංස්කරණ ලබා දිය යුතුය .,"[ තුර්කියට O , දිගු ARGM-TMP , කලක් ARGM-TMP , තිස්සේ O , බලා await.01 , සිටි await.01 , ප්‍රතිසංස්කරණ ARG2 , ලබා O , දිය O , යුතුය O , . O ] , [ තුර්කියට ARG0 , දිගු ARG1 , කලක් ARG1 , තිස්සේ ARG1 , බලා ARG1 , සිටි ARG1 , ප්‍රතිසංස්කරණ ARG1 , ලබා deliver.01 , දිය deliver.01 , යුතුය O , . O ]",[ ]
"කෙසේ වෙතත් , ඔවුන් ද විශාල වැරදි කර ඇත .","[ කෙසේ ARGM-DIS , වෙතත් ARGM-DIS , , O , ඔවුන් ARG0 , ද ARGM-ADV , විශාල ARG1 , වැරදි ARG1 , කර make.LV , ඇත O , . O ] , [ කෙසේ O , වෙතත් O , , O , ඔවුන් O , ද O , විශාල O , වැරදි O , කර O , ඇත have.01 , . O ]","[ කෙසේ ARGM-DIS , වෙතත් O , , O , ඔවුන් ARG0 , ද O , විශාල O , වැරදි O , කර O , ඇත have.01 , . O ]"
එබැවින් අපට යමක් කළ යුතුය .,"[ එබැවින් O , අපට ARG0 , යමක් ARG1 , කළ do.02 , යුතුය O , . O ]","[ එබැවින් ARGM-DIS , අපට ARG0 , යමක් ARG1 , කළ do.02 , යුතුය ARGM-MOD , . O ]"
මම මේ යෝජනාවට විරුද්ධව ඡන්දය දුන්නා .,"[ මම ARG0 , මේ ARG1 , යෝජනාවට ARG1 , විරුද්ධව ARG1 , ඡන්දය vote.01 , දුන්නා vote.01 , . O ]","[ මම ARG0 , මේ ARG1 , යෝජනාවට ARG1 , විරුද්ධව ARG1 , ඡන්දය O , දුන්නා vote.01 , . O ]"
මම දැන් ඔබට කියන්නම් .,"[ මම ARG0 , දැන් ARGM-TMP , ඔබට ARG2 , කියන්නම් tell.01 , . O ]","[ මම ARG0 , දැන් ARGM-TMP , ඔබට ARG0 , කියන්නම් say.01 , . O ]"
එය එසේ විය යුත්තේ ඇයි ?,"[ එය ARG1 , එසේ ARG2 , විය be.01 , යුත්තේ ARGM-MOD , ඇයි ARGM-CAU , ? O ]","[ එය ARG1 , එසේ ARG1 , විය be.01 , යුත්තේ ARGM-MOD , ඇයි ARGM-CAU , ? O , . O ]"
එය ආදරය වැනි ටිකක් ය .,"[ එය ARG1 , ආදරය ARG2 , වැනි ARG2 , ටිකක් ARG2 , ය be.01 , . O ]","[ එය ARG1 , ආදරය ARG1 , වැනි ARG2 , ටිකක් ARG2 , ය be.01 , . O ]"
අපි ඔවුන්ගේ ගැටළු සහ අවශ්‍යතා බැරෑරුම් ලෙස සැලකිය යුතුයි .,"[ අපි ARG0 , ඔවුන්ගේ ARG1 , ගැටළු ARG1 , සහ ARG1 , අවශ්‍යතා ARG1 , බැරෑරුම් ARGM-MNR , ලෙස ARGM-MNR , සැලකිය take.04 , යුතුයි ARGM-MOD , . O ]",[ ]
අපි දිරිදීමනා වලට පහර දුන්නා .,"[ අපි ARG0 , දිරිදීමනා ARG1 , වලට ARG1 , පහර attack.01 , දුන්නා attack.01 , . O ]","[ අපි ARG0 , දිරිදීමනා ARG1 , වලට O , පහර O , දුන්නා vote.01 , . O ]"
මෙම ආදර්ශ පාඨය සමඟ මම එකඟ වෙමි .,"[ මෙම ARG1 , ආදර්ශ ARG1 , පාඨය ARG1 , සමඟ ARG1 , මම ARG0 , එකඟ agree.01 , වෙමි agree.01 , . O ]","[ මෙම ARG1 , ආදර්ශ ARG1 , පාඨය ARG1 , සමඟ ARG1 , මම ARG0 , එකඟ agree.01 , වෙමි agree.01 , . O ]"
මම හිතන්නේ මේක වැරදීමක් .,"[ මම ARG0 , හිතන්නේ think.01 , මේක ARG1 , වැරදීමක් ARG1 , . O ]","[ මම ARG0 , හිතන්නේ think.01 , මේක ARG1 , වැරදීමක් ARG1 , . O ]"
කිසිදු ගිණුමක පවතින අයිතිවාසිකම් කප්පාදු නොකළ යුතුය .,"[ කිසිදු O , ගිණුමක O , පවතින exist.01 , අයිතිවාසිකම් ARG1 , කප්පාදු O , නොකළ O , යුතුය O , . O ] , [ කිසිදු O , ගිණුමක O , පවතින ARG1 , අයිතිවාසිකම් ARG1 , කප්පාදු curtail.01 , නොකළ O , යුතුය ARGM-MOD , . O ]","[ කිසිදු ARG1 , ගිණුමක ARGM-ADV , පවතින exist.01 , අයිතිවාසිකම් ARG1 , කප්පාදු ARG1 , නොකළ O , යුතුය ARGM-MOD , . O ]"
අපි ඒ ප්‍රශ්නය දෙස බැලිය යුතුයි .,"[ අපි ARG0 , ඒ ARG1 , ප්‍රශ්නය ARG1 , දෙස  ARG1 , බැලිය look.01 , යුතුයි O , . O ] , [ අපි ARG0 , ඒ ARG1 , ප්‍රශ්නය ARG1 , දෙස ARG1 , බැලිය ARG1 , යුතුයි need.01 , . O ]","[ අපි ARG0 , ඒ ARG1 , ප්\u200dරශ්නය ARG1 , දෙස ARG1 , බැලිය look.01 , යුතුයි ARGM-MOD , . O ], [ අපි ARG0 , ඒ ARG1 , ප්\u200dරශ්නය ARG1 , දෙස ARG1 , බැලිය ARG1 , යුතුයි need.01 , . O ]"
"ප්‍රායෝගිකව , අප මෙම කාර්යය කළ යුතුය .","[ ප්‍රායෝගිකව O , , O , අප ARG0 , මෙම ARG1 , කාර්යය ARG1 , කළ make.LV , යුතුය O , . O ] , [ ප්‍රායෝගිකව ARGM-ADV , , O , අප ARG0 , මෙම ARG1 , කාර්යය ARG1 , කළ ARG1 , යුතුය need.01 , . O ]","[ ප්\u200dරායෝගිකව ARGM-ADV , , O , අප ARG0 , මෙම ARG1 , කාර්යය ARG1 , කළ do.02 , යුතුය ARGM-MOD , . O ]"
"කෙසේ වෙතත් , එම අදියර අවසන් ය .","[ කෙසේ ARGM-DIS , වෙතත් ARGM-DIS , , O , එම ARG1 , අදියර ARG1 , අවසන් ARG2 , ය be.01 , . O ]","[ කෙසේ ARGM-DIS , වෙතත් O , , O , එම ARG1 , අදියර ARG1 , අවසන් O , ය be.01 , . O ]"
අද වන විට වෘත්තිය දැඩි අර්බුදයක පවතී .,"[ අද ARGM-TMP , වන O , විට O , වෘත්තිය ARG1 , දැඩි ARG2 , අර්බුදයක ARG2 , පවතී be.01 , . O ]","[ අද ARGM-TMP , වන be.01 , විට O , වෘත්තිය ARG2 , දැඩි ARG2 , අර්බුදයක ARG2 , පවතී be.01 , . O ]"
එහි වැඩි වැඩ කොටසක් කළ යුතුය .,"[ එහි ARGM-LOC , වැඩි ARG1 , වැඩ ARG1 , කොටසක් ARG1 , කළ do.02 , යුතුය O , . O ] , [ එහි ARG1 , වැඩි ARG0 , වැඩ ARG0 , කොටසක් ARG0 , කළ ARG1 , යුතුය need.01 , . O ]",[ ]
